label,value
Ambassador Hotel (Sahar) (BEST),"19.103176,72.875227"
Ambawadi (BEST),"19.24053,72.859691"
Ambawadi (Gala Nagar) (VVMT),"19.41731736,72.83033629"
Ambedkar Nagar (Bhandup-W) (BEST),"19.160053,72.93065"
Ambedkar Nagar (Mono),"19.0016,72.8442"
Ambewadi (Kalchowky) (BEST),"18.990447,72.84138"
"Ambewadi, Mith Chowky (Malad-W) (BEST)","19.196718,72.833797"
"Ambika Mill Bus Station, H.U.Rakhangi Chowk (BEST)","18.988013,72.822816"
Ambika Nagar (BEST),"19.197646,72.955718"
Ambivli (Local-CR),"19.2683817,73.1721075"
Amboli Naka (BEST),"19.128245,72.841434"
Amira Apartments (BEST),"19.18113,72.816638"
Amol Nagar (VVMT),"19.34509198,72.8440494"
Amrapali Society (BEST),"19.181409,72.815164"
Amrut Angan (BEST),"19.20894,73.012851"
Amrut Nagar (Vikhroli-W) (BEST),"19.101247,72.91192"
Amrut Shakti (BEST),"19.107873,72.897102"
"Amrut Shakti, Calilio Building (BEST)","19.107702,72.897169"
Amulakh High School (BEST),"19.026224,72.860296"
Anand Hospital (Dahisar) (BEST),"19.25778333,72.85943333"
Anand Nagar (Dahisar) (BEST),"19.258167,72.864665"
Anand Nagar (Ghodbunder Road) (BEST),"19.264705,72.967712"
Anand Nagar (Kopri) Police Chowky (BEST),"19.17357,72.968278"
Anand Nagar (Metro),"19.24369482,72.86413503"
Anand Nagar (Oshiwara) (BEST),"19.15023,72.836142"
Anand Nagar Market (BEST),"19.255818,72.864629"
"Anand Nagar, Appapada (Malad-E) (BEST)","19.190514,72.869829"
"Anand Nagar, Kopri (BEST)","19.179009,72.967119"
Anandnagar (VVMT),"19.26456736,72.96752314"
Andheri  (West) (Metro),"19.15395638,72.83542993"
Andheri (Local-WR),"19.1198242,72.846531"
Andheri (Metro),"19.1198242,72.846531"
Andheri Fire Brigade (BEST),"19.112155,72.841474"
Andheri Market (BEST),"19.122898,72.844517"
